"RecordID","ProgramStudi","Gender","DeviceUtama","ModaBelajar","Kepuasan","IntensitasBelajar","DurasiBelajarJam","PaketID"
612761,"Matematika","P","Smartphone","Video","Sangat Puas","Sedang",6.7,"ADK1-070181B4"
347565,"Matematika","P","Laptop","Praktik","Puas","Sedang",8,"ADK1-070181B4"
339002,"Sains Aktuaria","L","Laptop","Buku","Tidak Puas","Tinggi",10.1,"ADK1-070181B4"
787678,"Sains Data","P","Laptop","Praktik","Sangat Puas","Sedang",8.2,"ADK1-070181B4"
674251,"Sains Data","P","Tablet","Buku","Sangat Puas","Sedang",5.6,"ADK1-070181B4"
115670,"Sains Data","P","Laptop","Diskusi","Puas","Rendah",4.3,"ADK1-070181B4"
695121,"Sains Aktuaria","P","Laptop","Buku","Sangat Puas","Sedang",8.5,"ADK1-070181B4"
295400,"Sains Data","P","Tablet","Praktik","Sangat Puas","Tinggi",11.4,"ADK1-070181B4"
481799,"Sains Aktuaria","P","Tablet","Buku","Sangat Puas","Rendah",4.2,"ADK1-070181B4"
440057,"Matematika","P","Tablet","Praktik","Puas","Rendah",7.7,"ADK1-070181B4"
512547,"Sains Data","P","Laptop","Praktik","Puas","Rendah",5.8,"ADK1-070181B4"
570613,"Sains Aktuaria","P","Smartphone","Video","Tidak Puas","Sedang",7.4,"ADK1-070181B4"
312733,"Sains Aktuaria","L","Tablet","Praktik","Puas","Tinggi",11.3,"ADK1-070181B4"
413349,"Sistem Informasi","P","Smartphone","Buku","Puas","Tinggi",7.2,"ADK1-070181B4"
785565,"Sistem Informasi","P","Laptop","Buku","Sangat Puas","Sedang",6.9,"ADK1-070181B4"
422078,"Sistem Informasi","P","Tablet","Buku","Cukup","Rendah",5.7,"ADK1-070181B4"
438798,"Sains Data","L","Laptop","Praktik","Tidak Puas","Rendah",4.4,"ADK1-070181B4"
559592,"Matematika","P","Smartphone","Diskusi","Tidak Puas","Sedang",7,"ADK1-070181B4"
429079,"Sistem Informasi","L","Smartphone","Video","Puas","Rendah",6.9,"ADK1-070181B4"
682665,"Sains Data","L","Tablet","Diskusi","Cukup","Sedang",6.6,"ADK1-070181B4"
346322,"Sistem Informasi","L","Tablet","Video","Cukup","Sedang",5.3,"ADK1-070181B4"
977259,"Sains Aktuaria","P","Tablet","Video","Cukup","Sedang",7.8,"ADK1-070181B4"
608487,"Sains Aktuaria","P","Tablet","Buku","Sangat Puas","Rendah",4.8,"ADK1-070181B4"
780349,"Matematika","L","Tablet","Praktik","Tidak Puas","Sedang",4.4,"ADK1-070181B4"
784052,"Matematika","P","Laptop","Praktik","Sangat Puas","Tinggi",8,"ADK1-070181B4"
819284,"Matematika","L","Smartphone","Praktik","Puas","Rendah",5.7,"ADK1-070181B4"
247581,"Sistem Informasi","L","Smartphone","Praktik","Puas","Sedang",6.1,"ADK1-070181B4"
328555,"Matematika","P","Smartphone","Buku","Sangat Puas","Sedang",6.9,"ADK1-070181B4"
511610,"Sains Aktuaria","P","Tablet","Buku","Cukup","Sedang",6.8,"ADK1-070181B4"
798679,"Sains Data","L","Tablet","Diskusi","Sangat Puas",,9.2,"ADK1-070181B4"
907845,"Sistem Informasi","L","Tablet","Praktik","Sangat Puas","Tinggi",9.2,"ADK1-070181B4"
878466,"Sistem Informasi","P","Tablet","Praktik","Puas","Tinggi",13,"ADK1-070181B4"
650621,"Sains Data","L","Tablet","Praktik","Puas","Tinggi",9.9,"ADK1-070181B4"
639455,"Sains Data","P","Tablet","Praktik","Sangat Puas","Sedang",9.5,"ADK1-070181B4"
902603,"Matematika","L","Smartphone","Praktik","Sangat Puas","Tinggi",7.7,"ADK1-070181B4"
432561,"Sistem Informasi","P","Smartphone","Video","Puas","Sedang",7.4,"ADK1-070181B4"
135299,"Sains Data","P","Laptop","Praktik","Puas","Rendah",4.9,"ADK1-070181B4"
874909,"Matematika","P","Laptop","Video","Sangat Puas","Tinggi",9.6,"ADK1-070181B4"
776828,"Matematika","L","Laptop","Video","Sangat Puas","Tinggi",11.7,"ADK1-070181B4"
318148,"Matematika","L","Tablet","Diskusi","Puas","Tinggi",13,"ADK1-070181B4"
206295,"Sains Data","L","Smartphone","Praktik","Tidak Puas","Sedang",5.5,"ADK1-070181B4"
598981,"Sistem Informasi","L","Tablet","Praktik","Tidak Puas","Sedang",7.7,"ADK1-070181B4"
614472,"Sains Data","L","Smartphone","Praktik","Sangat Puas","Tinggi",10.8,"ADK1-070181B4"
404650,"Sistem Informasi","P","Tablet","Praktik","Sangat Puas","Tinggi",10.9,"ADK1-070181B4"
907570,"Sains Aktuaria","P","Tablet","Praktik","Cukup","Rendah",7.1,"ADK1-070181B4"
132765,"Sistem Informasi","L","Laptop","Buku","Puas","Tinggi",7.1,"ADK1-070181B4"
692633,"Sains Data","L","Smartphone","Video","Cukup","Sedang",6,"ADK1-070181B4"
544315,"Sains Aktuaria","P","Smartphone","Diskusi","Sangat Puas","Sedang",4.8,"ADK1-070181B4"
907948,"Sistem Informasi","L","Tablet","Buku","Puas","Sedang",9.7,"ADK1-070181B4"
615839,"Sistem Informasi","L","Tablet","Video","Sangat Puas","Sedang",7,"ADK1-070181B4"
896767,"Sistem Informasi","P","Smartphone","Buku","Sangat Puas","Rendah",4.9,"ADK1-070181B4"
409086,"Matematika","L","Smartphone","Diskusi","Tidak Puas","Rendah",1.4,"ADK1-070181B4"
872416,"Sistem Informasi","L","Smartphone","Buku","Puas","Sedang",7.4,"ADK1-070181B4"
520884,"Sistem Informasi","P","Tablet","Buku","Puas","Tinggi",8.5,"ADK1-070181B4"
351881,"Sistem Informasi","L","Smartphone","Diskusi","Tidak Puas","Sedang",5.7,"ADK1-070181B4"
